feature_number,old_column_name,new_column_name,feature_group,meaning,note
397,safety_context_feature_013,feature_397_object_risk_cue,Safety Context,object-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
398,safety_context_feature_014,feature_398_pose_risk_cue,Safety Context,pose-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
399,safety_context_feature_015,feature_399_motion_risk_cue,Safety Context,motion-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
400,safety_context_feature_016,feature_400_unsafe_interaction_cue,Safety Context,unsafe interaction cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
401,safety_context_feature_017,feature_401_safe_interaction_cue,Safety Context,safe interaction cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
402,safety_context_feature_018,feature_402_conflict_like_cue,Safety Context,conflict-like cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
403,safety_context_feature_019,feature_403_non_conflict_cue,Safety Context,non-conflict cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
404,safety_context_feature_020,feature_404_high_risk_activity,Safety Context,high-risk activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
405,safety_context_feature_021,feature_405_low_risk_activity,Safety Context,low-risk activity,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
406,safety_context_feature_022,feature_406_visual_danger_cue,Safety Context,visual danger cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
407,safety_context_feature_023,feature_407_visual_safety_cue,Safety Context,visual safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
408,safety_context_feature_024,feature_408_unsafe_body_pattern,Safety Context,unsafe body pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
409,safety_context_feature_025,feature_409_safe_body_pattern,Safety Context,safe body pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
410,safety_context_feature_026,feature_410_unsafe_scene_pattern,Safety Context,unsafe scene pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
411,safety_context_feature_027,feature_411_safe_scene_pattern,Safety Context,safe scene pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
412,safety_context_feature_028,feature_412_rapid_change_risk,Safety Context,rapid-change risk,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
413,safety_context_feature_029,feature_413_stable_scene_safety,Safety Context,stable-scene safety,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
414,safety_context_feature_030,feature_414_aggressive_movement_cue,Safety Context,aggressive movement cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
415,safety_context_feature_031,feature_415_normal_movement_cue,Safety Context,normal movement cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
416,safety_context_feature_032,feature_416_suspicious_object_context,Safety Context,suspicious object context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
417,safety_context_feature_033,feature_417_harmless_object_context,Safety Context,harmless object context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
418,safety_context_feature_034,feature_418_group_conflict_cue,Safety Context,group conflict cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
419,safety_context_feature_035,feature_419_group_normal_cue,Safety Context,group normal cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
420,safety_context_feature_036,feature_420_unsafe_posture_context,Safety Context,unsafe posture context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
421,safety_context_feature_037,feature_421_safe_posture_context,Safety Context,safe posture context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
422,safety_context_feature_038,feature_422_abnormal_scene_context,Safety Context,abnormal scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
423,safety_context_feature_039,feature_423_normal_scene_context,Safety Context,normal scene context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
424,safety_context_feature_040,feature_424_high_confidence_safe_cue,Safety Context,high confidence safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
425,safety_context_feature_041,feature_425_high_confidence_unsafe_cue,Safety Context,high confidence unsafe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
426,safety_context_feature_042,feature_426_ambiguous_safety_cue,Safety Context,ambiguous safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
427,safety_context_feature_043,feature_427_child_safety_risk_cue,Safety Context,child-safety risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
428,safety_context_feature_044,feature_428_child_safe_activity_cue,Safety Context,child-safe activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
429,safety_context_feature_045,feature_429_dangerous_activity_proxy,Safety Context,dangerous activity proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
430,safety_context_feature_046,feature_430_harmless_activity_proxy,Safety Context,harmless activity proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
431,safety_context_feature_047,feature_431_safety_decision_support,Safety Context,safety decision support,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
432,safety_context_feature_048,feature_432_unsafe_decision_support,Safety Context,unsafe decision support,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
433,safety_context_feature_049,feature_433_final_visual_risk_pattern,Safety Context,final visual risk pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
434,safety_context_feature_050,feature_434_final_safety_confidence,Safety Context,final safety confidence,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
435,safety_context_feature_051,feature_435_risk_intensity_cue,Safety Context,risk intensity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
436,safety_context_feature_052,feature_436_safety_intensity_cue,Safety Context,safety intensity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
437,safety_context_feature_053,feature_437_danger_context_cue,Safety Context,danger context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
438,safety_context_feature_054,feature_438_non_danger_context_cue,Safety Context,non-danger context cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
439,safety_context_feature_055,feature_439_violent_action_proxy,Safety Context,violent-action proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
440,safety_context_feature_056,feature_440_non_violent_action_proxy,Safety Context,non-violent-action proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
441,safety_context_feature_057,feature_441_physical_risk_cue,Safety Context,physical-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
442,safety_context_feature_058,feature_442_non_physical_risk_cue,Safety Context,non-physical-risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
443,safety_context_feature_059,feature_443_crowd_safety_cue,Safety Context,crowd safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
444,safety_context_feature_060,feature_444_crowd_danger_cue,Safety Context,crowd danger cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
445,safety_context_feature_061,feature_445_close_contact_safe_cue,Safety Context,close-contact safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
446,safety_context_feature_062,feature_446_close_contact_unsafe_cue,Safety Context,close-contact unsafe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
447,safety_context_feature_063,feature_447_body_risk_pattern,Safety Context,body-risk pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
448,safety_context_feature_064,feature_448_body_safe_pattern,Safety Context,body-safe pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
449,safety_context_feature_065,feature_449_scene_risk_pattern,Safety Context,scene-risk pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
450,safety_context_feature_066,feature_450_scene_safe_pattern,Safety Context,scene-safe pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
451,safety_context_feature_067,feature_451_motion_risk_pattern,Safety Context,motion-risk pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
452,safety_context_feature_068,feature_452_motion_safe_pattern,Safety Context,motion-safe pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
453,safety_context_feature_069,feature_453_object_danger_proxy,Safety Context,object-danger proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
454,safety_context_feature_070,feature_454_object_safe_proxy,Safety Context,object-safe proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
455,safety_context_feature_071,feature_455_gesture_danger_cue,Safety Context,gesture-danger cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
456,safety_context_feature_072,feature_456_gesture_safe_cue,Safety Context,gesture-safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
457,safety_context_feature_073,feature_457_posture_danger_cue,Safety Context,posture-danger cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
458,safety_context_feature_074,feature_458_posture_safe_cue,Safety Context,posture-safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
459,safety_context_feature_075,feature_459_interaction_danger_cue,Safety Context,interaction-danger cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
460,safety_context_feature_076,feature_460_interaction_safe_cue,Safety Context,interaction-safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
461,safety_context_feature_077,feature_461_chaotic_visual_cue,Safety Context,chaotic visual cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
462,safety_context_feature_078,feature_462_calm_visual_cue,Safety Context,calm visual cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
463,safety_context_feature_079,feature_463_unstable_activity_cue,Safety Context,unstable activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
464,safety_context_feature_080,feature_464_stable_activity_cue,Safety Context,stable activity cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
465,safety_context_feature_081,feature_465_unsafe_probability_cue,Safety Context,unsafe probability cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
466,safety_context_feature_082,feature_466_safe_probability_cue,Safety Context,safe probability cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
467,safety_context_feature_083,feature_467_risk_confidence_cue,Safety Context,risk confidence cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
468,safety_context_feature_084,feature_468_safe_confidence_cue,Safety Context,safe confidence cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
469,safety_context_feature_085,feature_469_high_motion_risk_cue,Safety Context,high motion risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
470,safety_context_feature_086,feature_470_low_motion_safety_cue,Safety Context,low motion safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
471,safety_context_feature_087,feature_471_group_risk_context,Safety Context,group risk context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
472,safety_context_feature_088,feature_472_group_safety_context,Safety Context,group safety context,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
473,safety_context_feature_089,feature_473_single_person_risk_cue,Safety Context,single-person risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
474,safety_context_feature_090,feature_474_single_person_safety_cue,Safety Context,single-person safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
475,safety_context_feature_091,feature_475_environment_risk_cue,Safety Context,environment risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
476,safety_context_feature_092,feature_476_environment_safety_cue,Safety Context,environment safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
477,safety_context_feature_093,feature_477_contextual_danger_cue,Safety Context,contextual danger cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
478,safety_context_feature_094,feature_478_contextual_safety_cue,Safety Context,contextual safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
479,safety_context_feature_095,feature_479_unsafe_event_proxy,Safety Context,unsafe event proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
480,safety_context_feature_096,feature_480_safe_event_proxy,Safety Context,safe event proxy,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
481,safety_context_feature_097,feature_481_activity_warning_cue,Safety Context,activity warning cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
482,safety_context_feature_098,feature_482_activity_normal_cue,Safety Context,activity normal cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
483,safety_context_feature_099,feature_483_visual_warning_pattern,Safety Context,visual warning pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
484,safety_context_feature_100,feature_484_visual_normal_pattern,Safety Context,visual normal pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
485,safety_context_feature_101,feature_485_conflict_probability_cue,Safety Context,conflict probability cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
486,safety_context_feature_102,feature_486_normal_probability_cue,Safety Context,normal probability cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
487,safety_context_feature_103,feature_487_risk_fusion_cue,Safety Context,risk fusion cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
488,safety_context_feature_104,feature_488_safety_fusion_cue,Safety Context,safety fusion cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
489,safety_context_feature_105,feature_489_body_scene_risk_cue,Safety Context,body-scene risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
490,safety_context_feature_106,feature_490_body_scene_safety_cue,Safety Context,body-scene safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
491,safety_context_feature_107,feature_491_object_scene_risk_cue,Safety Context,object-scene risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
492,safety_context_feature_108,feature_492_object_scene_safety_cue,Safety Context,object-scene safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
493,safety_context_feature_109,feature_493_motion_scene_risk_cue,Safety Context,motion-scene risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
494,safety_context_feature_110,feature_494_motion_scene_safety_cue,Safety Context,motion-scene safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
495,safety_context_feature_111,feature_495_pose_scene_risk_cue,Safety Context,pose-scene risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
496,safety_context_feature_112,feature_496_pose_scene_safety_cue,Safety Context,pose-scene safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
497,safety_context_feature_113,feature_497_human_context_risk_cue,Safety Context,human-context risk cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
498,safety_context_feature_114,feature_498_human_context_safety_cue,Safety Context,human-context safety cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
499,safety_context_feature_115,feature_499_combined_unsafe_cue,Safety Context,combined unsafe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
500,safety_context_feature_116,feature_500_combined_safe_cue,Safety Context,combined safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
501,safety_context_feature_117,feature_501_decision_risk_pattern,Safety Context,decision risk pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
502,safety_context_feature_118,feature_502_decision_safety_pattern,Safety Context,decision safety pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
503,safety_context_feature_119,feature_503_final_unsafe_cue,Safety Context,final unsafe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
504,safety_context_feature_120,feature_504_final_safe_cue,Safety Context,final safe cue,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
505,safety_context_feature_121,feature_505_classification_risk_support,Safety Context,classification risk support,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
506,safety_context_feature_122,feature_506_classification_safety_support,Safety Context,classification safety support,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
507,safety_context_feature_123,feature_507_overall_unsafe_pattern,Safety Context,overall unsafe pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
508,safety_context_feature_124,feature_508_overall_safe_pattern,Safety Context,overall safe pattern,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
509,safety_context_feature_125,feature_509_final_risk_confidence,Safety Context,final risk confidence,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
510,safety_context_feature_126,feature_510_final_safe_confidence,Safety Context,final safe confidence,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
511,safety_context_feature_127,feature_511_nan,Safety Context,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
512,safety_context_feature_128,feature_512_nan,Safety Context,,Readable presentation name for a learned CNN embedding feature. It is not a manually coded detector.
